Name;Chevaux;Partants;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Prim. Eleveur;Gain/Part.;Gain/Chev.;Course/Chev.
LUKAS DELEAU;16;22;0;3;3995,00;2607,00;6602,00;644,00;181,59;250;1
ANTOINE MORICEAU;6;7;0;3;3670,00;0,00;3670,00;643,00;524,29;612;1
MATHIS ZULIANI;4;5;0;3;3015,00;0,00;3015,00;541,00;603,00;754;1
MME ZINEB EL BRIOUIL;8;9;0;3;2825,00;712,00;3537,00;516,00;313,89;353;1
MME BLANDINE ZULIANI;5;6;0;3;2390,00;0,00;2390,00;411,00;398,33;478;1
BAPTISTE HOBART;12;14;0;3;1505,00;538,00;2043,00;298,00;107,50;125;1
MME ALEXIA PIHERY;3;4;0;3;1005,00;0,00;1005,00;144,00;251,25;335;1
ROSSA RYAN;2;2;0;2;123820,00;0,00;123820,00;0,00;61910,00;61910;1
WAYNE-MARTIN LORDAN;3;3;0;2;94230,00;0,00;94230,00;0,00;31410,00;31410;1
JAMES VINCENT CROWLEY;2;2;0;2;43000,00;3300,00;46300,00;1750,00;21500,00;21500;1
CALLUM RODRIGUEZ;2;2;0;2;29698,00;0,00;29698,00;0,00;14849,00;14849;1
MME OLIVIA LONGUET;3;3;0;2;6050,00;0,00;6050,00;1089,00;2016,67;2017;1
NICOLAS DE JULIAN ALONSO;2;3;0;2;6000,00;0,00;6000,00;0,00;2000,00;3000;2
MME MARIE-ANNE BERNADET;5;6;0;2;5960,00;1197,00;7157,00;1095,00;993,33;1192;1
JULIEN PELICIER;5;8;0;2;4350,00;2812,00;7162,00;832,00;543,75;870;2
RAPHAEL MAYEUR;2;3;0;2;3180,00;0,00;3180,00;572,00;1060,00;1590;2
DAVIDE CIROCCA;2;2;0;2;3150,00;0,00;3150,00;0,00;1575,00;1575;1
ARTHUR DUVACHER;3;3;0;2;3135,00;0,00;3135,00;538,00;1045,00;1045;1
MME JULIA GUILLOTON;7;10;0;2;3060,00;1377,00;4437,00;576,00;306,00;437;1
KHALED MIFTAH ALALOS;2;2;0;2;2949,00;1080,00;4029,00;452,00;1474,50;1474;1
MICHEL WENDEL;3;3;0;2;2880,00;0,00;2880,00;517,00;960,00;960;1
MME LORA LOISON;5;7;0;2;2775,00;0,00;2775,00;499,00;396,43;555;1
JIRI CHALOUPKA;2;4;0;2;2702,00;1215,00;3917,00;508,00;675,50;1351;2
TOM PAUQUET;2;2;0;2;2150,00;967,00;3117,00;320,00;1075,00;1075;1
MAVIS MUNGROO;4;4;0;2;2000,00;1200,00;3200,00;415,00;500,00;500;1
GERARD GUILLERMO;4;10;0;2;1925,00;191,00;2116,00;320,00;192,50;481;3
RENE PIECHULEK;6;8;0;2;1780,00;495,00;2275,00;207,00;222,50;297;1
MME COLINE SAULOUP;2;2;0;2;1670,00;0,00;1670,00;230,00;835,00;835;1
RICARDO NICOLAS VALLE;1;2;0;2;1320,00;594,00;1914,00;248,00;660,00;1320;2
MAXENCE BROCHARD;2;4;0;2;1000,00;0,00;1000,00;179,00;250,00;500;2
ADRIAN MARTINEZ TORRES;1;3;0;2;864,00;388,00;1252,00;162,00;288,00;864;3
MIRAI IWATA;1;1;0;1;28600,00;0,00;28600,00;0,00;28600,00;28600;1
DYLAN BROWNE MCMONAGLE;1;1;0;1;17130,00;0,00;17130,00;0,00;17130,00;17130;1
CIEREN FALLON;1;1;0;1;15000,00;0,00;15000,00;0,00;15000,00;15000;1
LUKE MORRIS;4;4;0;1;14640,00;0,00;14640,00;0,00;3660,00;3660;1
SILVESTRE DE SOUSA;3;3;0;1;14275,00;0,00;14275,00;0,00;4758,33;4758;1
GEORGE BASS;1;1;0;1;13650,00;0,00;13650,00;0,00;13650,00;13650;1
TREVOR WHELAN;1;1;0;1;8780,00;0,00;8780,00;0,00;8780,00;8780;1
KIERAN THOMAS O'NEILL;1;1;0;1;5490,00;0,00;5490,00;0,00;5490,00;5490;1
SEAN P. BYRNE;2;2;0;1;4760,00;0,00;4760,00;0,00;2380,00;2380;1
MME MAELIE PIEN;2;2;0;1;4400,00;1980,00;6380,00;829,00;2200,00;2200;1
MICHAL ABIK;1;1;0;1;3150,00;2362,00;5512,00;468,00;3150,00;3150;1
MME PETRA ZEDKOVA;1;1;0;1;3150,00;0,00;3150,00;378,00;3150,00;3150;1
LOUNIS MABROUK;1;1;0;1;2940,00;0,00;2940,00;0,00;2940,00;2940;1
HARRY DAVIES;1;1;0;1;2750,00;0,00;2750,00;0,00;2750,00;2750;1
FREDDY RAFAEL MARTINEZ PARRA;1;1;0;1;2745,00;0,00;2745,00;0,00;2745,00;2745;1
ALEXANDRE CHESNEAU;5;7;0;1;2500,00;0,00;2500,00;450,00;357,14;500;1
CHRISTOPHE DEHENS;3;3;0;1;2400,00;0,00;2400,00;0,00;800,00;800;1
GAETAN CHAMPIER;1;2;0;1;2100,00;0,00;2100,00;378,00;1050,00;2100;2
MME ESTELLE FONTAINE;7;15;0;1;2000,00;0,00;2000,00;320,00;133,33;286;2
JORDAN DELAUNAY;2;3;0;1;1950,00;877,00;2827,00;367,00;650,00;975;2
MME SOLENE GAMBE;1;1;0;1;1740,00;783,00;2523,00;327,00;1740,00;1740;1
MAXIM BOZZIO;4;4;0;1;1700,00;765,00;2465,00;320,00;425,00;425;1
NICOLAS GAUFFENIC;2;2;0;1;1650,00;0,00;1650,00;297,00;825,00;825;1
VALENTIN TOP;1;1;0;1;1620,00;0,00;1620,00;259,00;1620,00;1620;1
MME CHARLOTTE PRICHARD;1;1;0;1;1520,00;0,00;1520,00;243,00;1520,00;1520;1
ADRIEN BLAIS;2;2;0;1;1400,00;0,00;1400,00;224,00;700,00;700;1
THOMAS JAGUELIN;2;2;0;1;1275,00;0,00;1275,00;229,00;637,50;638;1
MATTHIEU CHAILLOLEAU;1;1;0;1;1275,00;0,00;1275,00;204,00;1275,00;1275;1
THOMAS FIGUEIRA;1;1;0;1;1260,00;0,00;1260,00;201,00;1260,00;1260;1
LOUIS COLSON;4;5;0;1;1250,00;0,00;1250,00;225,00;250,00;312;1
TIM BURGIN;2;3;0;1;1200,00;0,00;1200,00;216,00;400,00;600;2
PATRICK GIBSON;2;2;0;1;1200,00;0,00;1200,00;0,00;600,00;600;1
KILIAN DUBOURG;2;2;0;1;1150,00;0,00;1150,00;207,00;575,00;575;1
AXEL LEPAGE;1;1;0;1;1150,00;0,00;1150,00;207,00;1150,00;1150;1
DAVID LISKA;1;1;0;1;1050,00;0,00;1050,00;0,00;1050,00;1050;1
LUCAS VANDAMME;2;2;0;1;945,00;0,00;945,00;151,00;472,50;472;1
ALEXIS GAUTRON;4;5;0;1;940,00;0,00;940,00;169,00;188,00;235;1
GWEN RICHARD;2;2;0;1;850,00;0,00;850,00;153,00;425,00;425;1
MME DENISA SIKOROVA;1;1;0;1;800,00;360,00;1160,00;150,00;800,00;800;1
LOUIS COLLINET;2;2;0;1;720,00;0,00;720,00;115,00;360,00;360;1
MME YEVA BAKALOVA;1;2;0;1;700,00;315,00;1015,00;131,00;350,00;700;2
THEO LE GRAET;7;7;0;1;660,00;0,00;660,00;0,00;94,29;94;1
MARTIN LAUBE;1;1;0;1;600,00;0,00;600,00;0,00;600,00;600;1
MME MARLENE MEYER;1;1;0;1;600,00;270,00;870,00;73,00;600,00;600;1
NATHAN BOUAJIB;4;5;0;1;525,00;0,00;525,00;94,00;105,00;131;1
MAYEUL DESMARD;2;5;0;1;525,00;0,00;525,00;94,00;105,00;262;3
FLORENT BAYLE;1;1;0;1;525,00;0,00;525,00;94,00;525,00;525;1
DORIAN CARRE;1;1;0;1;525,00;0,00;525,00;94,00;525,00;525;1
MME CAMILLE LAUDE;1;1;0;1;475,00;0,00;475,00;76,00;475,00;475;1
VICTOR NAIL-ROCHER;2;2;0;1;472,00;0,00;472,00;75,00;236,00;236;1
MME STEFANIE KOYUNCU;2;2;0;1;456,00;342,00;798,00;103,00;228,00;228;1
EMANUELE SOLINAS;9;10;0;1;450,00;0,00;450,00;72,00;45,00;50;1
BASTIEN MARCHAND;2;2;0;1;425,00;0,00;425,00;68,00;212,50;212;1
MME JURICO BOGAERTS;1;4;0;1;402,00;180,00;582,00;49,00;100,50;402;4
GIOELE GUNGUI;4;4;0;1;400,00;180,00;580,00;75,00;100,00;100;1
RAMON AGUILERA PUENTE;1;4;0;1;380,00;171,00;551,00;71,00;95,00;380;4
NITEERAJ SEEGOOLAM;1;2;0;1;380,00;0,00;380,00;60,00;190,00;380;2
KEVIN OUVRIER;1;1;0;1;350,00;0,00;350,00;56,00;350,00;350;1
MAXIME BEHOCARAY;1;1;0;1;315,00;0,00;315,00;50,00;315,00;315;1
STEFAAN FRANCOIS;2;3;0;1;240,00;0,00;240,00;0,00;80,00;120;2
LOUIS ARMANCE;5;7;0;0;0,00;0,00;0,00;0,00;0,00;0;1
NICOLAS ASTIER;7;7;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ISMAIL KOYUNCU;5;5;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME VIRGINIE MONTEIRO;4;5;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME LAURA VANDERSCHUEREN;2;5;0;0;0,00;0,00;0,00;0,00;0,00;0;3
MME SANNE DE CEULAER;1;4;0;0;0,00;0,00;0,00;0,00;0,00;0;4
FACUNDO EMMANUEL ROLDAN;2;4;0;0;0,00;0,00;0,00;0,00;0,00;0;2
KOEN CLIJMANS;2;3;0;0;0,00;0,00;0,00;0,00;0,00;0;2
MEDY DUCHENE;3;3;0;0;0,00;0,00;0,00;0,00;0,00;0;1
EDGAR LABAISSE;3;3;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME OCEANE LAUNAY;3;3;0;0;0,00;0,00;0,00;0,00;0,00;0;1
SEAN M. LEVEY;3;3;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ESTEBAN METIVIER;2;3;0;0;0,00;0,00;0,00;0,00;0,00;0;2
NADIR MOUSSAOUI;2;3;0;0;0,00;0,00;0,00;0,00;0,00;0;2
GABIN SEIGNEUL;1;3;0;0;0,00;0,00;0,00;0,00;0,00;0;3
SEPPE BALCAEN;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
THOMAS BLAINVILLE;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ANDY BONNEFOY;1;2;0;0;0,00;0,00;0,00;0,00;0,00;0;2
ANDREA COTTU;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MATHIS CYPRIA;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
JOSE MANUEL DA CUNHA LIMA;1;2;0;0;0,00;0,00;0,00;0,00;0,00;0;2
ABDILAH EL RHERRAS;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME MATHILDE ERLICH;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MARCO GHIANI;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
AUGUSTIN GLEYROUX;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
BOLOT KALYSBEK UULU;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
TOLGA KOYUNCU;1;2;0;0;0,00;0,00;0,00;0,00;0,00;0;2
LENNY KULIK;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME NAHUELL MASSELIS;1;2;0;0;0,00;0,00;0,00;0,00;0,00;0;2
DANIEL MUSCUTT;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME CELINE ROBIN;1;2;0;0;0,00;0,00;0,00;0,00;0,00;0;2
MME MANON SARDIN;1;2;0;0;0,00;0,00;0,00;0,00;0,00;0;2
JAMES PETER SPENCER;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MARTIN SRNEC;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME ENGLA TUNMAR;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
VICTOR MANUEL VALENZUELA MONCADA;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ADRIE DE VRIES;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ABDULLA RASHID F T AL-HAJRI;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME ALEJANDRA BAEZA GUTIERREZ;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
LUIS MIGUEL BAPTISTA FONSECA;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME LILOU BEDOUET;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MICHAEL CADEDDU;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
YANN COURMONT;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ARMAN DAVODI;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
JULIAN DEROUET;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
LEO-PAUL DORY;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME CLEMENTINE FAURE;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
NATHANAEL FERREIRA;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
SHANE FOLEY;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
YLAN FOLLIN;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
BAPTISTE FOUCHET;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ADRIEN FOUCHET;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ROBERT HAVLIN;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME ELSA ISOARDI;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME CATHY JOUBERT;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
OLIVIER JOUIN;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
NATHAN KASZTELAN;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
DYLAN LECOMTE;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME AMELIE LEHOUX;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME EGLANTINE LIEVRE;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MUSTAFA MANAV;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME CHLOE MIGNONNEAU;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
KEVIN NABET;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
EWAN OUDIN;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME LAURA PEARSON;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ROBERTO PEREZ DURAN;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
GIANY PINARD;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
CHRISTOPHER RIOU;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
GAVIN RYAN;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
HAKIM TABET;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
DAMIEN THOMAS;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
MME SARA VERMEERSCH;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
GEOFFREY-GILLES VIBERT;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
ROBIN WEBER;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0;1
